ClassID: 151 | ClassName: BA-PTON260513 | CourseID: 200 | CourseName: Kỹ năng khơi gợi yêu cầu | Total: 26 | Passed: 0 | PassRate: 0.00%
ClassID: 151 | ClassName: BA-PTON260513 | CourseID: 201 | CourseName: Kỹ năng phân tích yêu cầu | Total: 26 | Passed: 0 | PassRate: 0.00%
ClassID: 174 | ClassName: BA-PTON260623 | CourseID: 200 | CourseName: Kỹ năng khơi gợi yêu cầu | Total: 21 | Passed: 0 | PassRate: 0.00%
ClassID: 174 | ClassName: BA-PTON260623 | CourseID: 197 | CourseName: Tổng quan về BA | Total: 22 | Passed: 0 | PassRate: 0.00%
ClassID: 111 | ClassName: BDA-PTON260113 | CourseID: 125 | CourseName: Module 1: Tổng quan và chuẩn bị dữ liệu | Total: 16 | Passed: 0 | PassRate: 0.00%
ClassID: 111 | ClassName: BDA-PTON260113 | CourseID: 126 | CourseName: Module 2: Mô hình hóa và tính toán | Total: 16 | Passed: 0 | PassRate: 0.00%
ClassID: 111 | ClassName: BDA-PTON260113 | CourseID: 127 | CourseName: Module 3: Báo cáo và trực quan hóa | Total: 16 | Passed: 0 | PassRate: 0.00%
ClassID: 131 | ClassName: BDA-PTON260330 | CourseID: 179 | CourseName: Module 1: Power BI 2.0 | Total: 16 | Passed: 0 | PassRate: 0.00%
ClassID: 131 | ClassName: BDA-PTON260330 | CourseID: 180 | CourseName: Module 2: Power BI 2.0 | Total: 15 | Passed: 0 | PassRate: 0.00%
ClassID: 131 | ClassName: BDA-PTON260330 | CourseID: 181 | CourseName: Module 3: Power BI 2.0 | Total: 15 | Passed: 0 | PassRate: 0.00%
ClassID: 166 | ClassName: BRSE-PTON-NI260527 | CourseID: 32 | CourseName: [Tsubasa] Lập trình front-end cơ bản | Total: 11 | Passed: 0 | PassRate: 0.00%
ClassID: 175 | ClassName: BRSE-PTON-NI260625 | CourseID: 32 | CourseName: [Tsubasa] Lập trình front-end cơ bản | Total: 13 | Passed: 0 | PassRate: 0.00%
ClassID: 139 | ClassName: BRSE-PTON260413 | CourseID: 209 | CourseName: AI for BrSE | Total: 11 | Passed: 0 | PassRate: 0.00%
ClassID: 139 | ClassName: BRSE-PTON260413 | CourseID: 208 | CourseName: Basic Design & Giao tiếp Dev | Total: 11 | Passed: 0 | PassRate: 0.00%
